Specimen label,"1018_1"
End date,"Monday, January 24, 2022"
Thickness,"6.24000",mm
Width,"12.38000",mm
Final length,"57.02000",mm
Axial gauge length,"25.40000",mm
Transverse gauge length,"12.38000",mm
Crosshead Rate,"5.00",mm/min

Time,Extension,Load,Axial Strain,Transverse Strain
(s),(mm),(N),(mm/mm),(mm/mm)
"17.700","1.475","18500.22","0.00092","0.00034"
"17.800","1.483","18640.62","0.00093","0.00035"
"17.900","1.492","18749.08","0.00094","0.00035"
"18.000","1.500","18905.47","0.00095","0.00036"
"18.100","1.508","19030.84","0.00096","0.00036"
"18.200","1.517","19157.71","0.00097","0.00037"
"18.300","1.525","19310.05","0.00098","0.00037"
"18.400","1.533","19430.76","0.00099","0.00037"
"18.500","1.542","19572.85","0.00100","0.00038"
"18.600","1.550","19700.01","0.00101","0.00038"
"18.700","1.558","19833.64","0.00101","0.00039"
"18.800","1.567","19963.95","0.00102","0.00039"
"18.900","1.575","20104.94","0.00103","0.00040"
"19.000","1.583","20220.55","0.00105","0.00040"
"19.100","1.592","20371.82","0.00106","0.00041"
"19.200","1.600","20503.46","0.00107","0.00041"
"19.300","1.608","20629.74","0.00108","0.00042"
"19.400","1.617","20772.68","0.00108","0.00042"
"19.500","1.625","20904.23","0.00109","0.00043"
"19.600","1.633","21025.53","0.00111","0.00043"
"19.700","1.642","21180.21","0.00111","0.00044"
"19.800","1.650","21303.64","0.00112","0.00044"
"19.900","1.659","21438.68","0.00113","0.00045"
"20.000","1.667","21575.95","0.00115","0.00045"
"20.100","1.675","21713.46","0.00116","0.00046"
"20.200","1.683","21834.74","0.00117","0.00047"
"20.300","1.692","21992.04","0.00118","0.00047"
"20.400","1.700","22118.73","0.00119","0.00048"
"20.500","1.708","22254.32","0.00120","0.00048"
"20.600","1.717","22394.25","0.00121","0.00048"
"20.700","1.725","22516.00","0.00122","0.00049"
"20.800","1.734","22666.34","0.00123","0.00049"
"20.900","1.742","22801.50","0.00124","0.00050"
"21.000","1.750","22928.49","0.00125","0.00051"
"21.100","1.758","23057.79","0.00126","0.00051"
"21.200","1.767","23215.51","0.00127","0.00052"
"21.300","1.775","23321.30","0.00128","0.00053"
"21.400","1.783","23484.20","0.00130","0.00053"
"21.500","1.792","23604.83","0.00131","0.00054"
"21.600","1.800","23750.77","0.00132","0.00054"
"21.700","1.808","23883.84","0.00133","0.00055"
"21.800","1.817","24014.46","0.00134","0.00055"
"21.900","1.825","24136.95","0.00135","0.00056"
"22.000","1.834","24300.88","0.00136","0.00056"
"22.100","1.842","24422.73","0.00138","0.00057"
"22.200","1.850","24541.72","0.00139","0.00058"
"22.300","1.858","24695.98","0.00140","0.00058"
"22.400","1.867","24835.94","0.00141","0.00059"
"22.500","1.875","24957.36","0.00142","0.00059"
"22.600","1.883","25117.54","0.00144","0.00060"
"22.700","1.892","25233.54","0.00145","0.00061"
"22.800","1.900","25376.66","0.00146","0.00062"
"22.900","1.908","25523.42","0.00147","0.00062"
"23.000","1.917","25658.90","0.00149","0.00063"
"23.100","1.925","25776.39","0.00150","0.00063"
"23.200","1.933","25944.98","0.00151","0.00064"
"23.300","1.942","26061.21","0.00152","0.00065"
"23.400","1.950","26201.61","0.00153","0.00065"
"23.500","1.958","26351.84","0.00154","0.00066"
"23.600","1.967","26482.72","0.00156","0.00067"
"23.700","1.975","26615.04","0.00157","0.00067"
"23.800","1.983","26764.32","0.00158","0.00068"
"23.900","1.992","26893.84","0.00160","0.00069"
"24.000","2.000","27024.25","0.00161","0.00069"
"24.100","2.009","27183.94","0.00162","0.00070"
"24.200","2.017","27298.08","0.00164","0.00071"
"24.300","2.025","27442.01","0.00165","0.00071"
"24.400","2.033","27586.87","0.00166","0.00072"
"24.500","2.042","27719.22","0.00167","0.00073"
"24.600","2.050","27847.94","0.00169","0.00074"
"24.700","2.058","28012.76","0.00171","0.00074"
"24.800","2.067","28126.71","0.00172","0.00075"
"24.900","2.075","28262.80","0.00173","0.00076"
"25.000","2.083","28417.93","0.00174","0.00077"
"25.100","2.092","28540.27","0.00176","0.00078"
"25.200","2.100","28670.66","0.00177","0.00078"
"25.300","2.109","28832.52","0.00179","0.00079"
"25.400","2.117","28948.97","0.00180","0.00080"
"25.500","2.125","29085.28","0.00181","0.00081"
"25.600","2.133","29243.41","0.00183","0.00081"
"25.700","2.142","29374.04","0.00184","0.00082"
"25.800","2.150","29488.46","0.00186","0.00083"
"25.900","2.158","29654.16","0.00187","0.00084"
"26.000","2.167","29762.23","0.00188","0.00085"
"26.100","2.175","29915.42","0.00190","0.00086"
"26.200","2.184","30053.29","0.00192","0.00087"
"26.300","2.192","30180.56","0.00193","0.00088"
"26.400","2.200","30300.64","0.00195","0.00088"
"26.500","2.208","30464.31","0.00196","0.00089"
"26.600","2.217","30579.85","0.00198","0.00090"
"26.700","2.225","30717.71","0.00199","0.00091"
"26.800","2.234","30860.89","0.00201","0.00092"
"26.900","2.242","30982.23","0.00202","0.00093"
"27.000","2.250","31125.99","0.00204","0.00094"
"27.100","2.258","31250.59","0.00206","0.00095"
"27.200","2.267","31378.99","0.00207","0.00096"
"27.300","2.275","31523.82","0.00209","0.00097"
"27.400","2.284","31660.46","0.00210","0.00098"
"27.500","2.292","31772.58","0.00212","0.00099"
"27.600","2.300","31928.21","0.00214","0.00100"
"27.700","2.308","32039.94","0.00216","0.00101"
"27.800","2.317","32174.96","0.00217","0.00102"
"27.900","2.325","32318.43","0.00219","0.00103"
"28.000","2.333","32441.67","0.00221","0.00104"
"28.100","2.342","32570.37","0.00222","0.00105"
"28.200","2.350","32707.17","0.00224","0.00106"
"28.300","2.358","32823.23","0.00226","0.00107"
"28.400","2.367","32973.30","0.00227","0.00108"
"28.500","2.375","33083.40","0.00229","0.00109"
"28.600","2.383","33212.84","0.00231","0.00110"
"28.700","2.392","33360.71","0.00233","0.00111"
"28.800","2.400","33480.01","0.00235","0.00112"
"28.900","2.408","33608.32","0.00236","0.00114"
"29.000","2.417","33723.27","0.00238","0.00115"
"29.100","2.425","33851.98","0.00240","0.00116"
"29.200","2.433","33984.36","0.00242","0.00118"
"29.300","2.442","34108.30","0.00243","0.00119"
"29.400","2.450","34225.23","0.00246","0.00120"
"29.500","2.458","34372.73","0.00247","0.00121"
"29.600","2.467","34488.14","0.00249","0.00122"
"29.700","2.475","34616.49","0.00251","0.00123"
"29.800","2.483","34741.63","0.00253","0.00124"
"29.900","2.492","34850.75","0.00255","0.00125"
"30.000","2.500","35005.42","0.00257","0.00127"
"30.100","2.508","35105.96","0.00259","0.00128"
"30.200","2.517","35243.72","0.00261","0.00129"
"30.300","2.525","35361.14","0.00263","0.00131"
"30.400","2.533","35475.09","0.00265","0.00132"
"30.500","2.542","35618.77","0.00267","0.00133"
"30.600","2.550","35720.27","0.00269","0.00134"
"30.700","2.559","35863.41","0.00271","0.00136"
"30.800","2.567","35968.27","0.00273","0.00137"
"30.900","2.575","36092.88","0.00276","0.00138"
"31.000","2.584","36222.65","0.00278","0.00140"
"31.100","2.592","36325.86","0.00280","0.00141"
"31.200","2.600","36470.56","0.00282","0.00142"
"31.300","2.608","36582.38","0.00285","0.00143"
"31.400","2.617","36700.92","0.00287","0.00145"
"31.500","2.625","36809.16","0.00289","0.00146"
"31.600","2.633","36924.65","0.00291","0.00148"
"31.700","2.642","37052.99","0.00293","0.00149"
"31.800","2.650","37162.34","0.00296","0.00151"
"31.900","2.658","37293.97","0.00298","0.00153"
"32.000","2.667","37394.70","0.00301","0.00155"
"32.100","2.675","37520.85","0.00303","0.00156"
"32.200","2.684","37621.78","0.00306","0.00158"
"32.300","2.692","37746.34","0.00308","0.00160"
"32.400","2.700","37860.49","0.00311","0.00162"
"32.500","2.708","37952.50","0.00313","0.00163"
"32.600","2.717","38095.36","0.00316","0.00165"
"32.700","2.725","38182.80","0.00319","0.00167"
"32.800","2.734","38319.38","0.00321","0.00168"
"32.900","2.742","38415.87","0.00324","0.00170"
"33.000","2.750","38532.85","0.00327","0.00172"
"33.100","2.758","38646.56","0.00330","0.00174"
"33.200","2.767","38751.57","0.00332","0.00175"
"33.300","2.775","38859.54","0.00335","0.00177"
